"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","100n","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C3","1","1u","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C4","1","10u","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C5","1","470p","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"D1, D2, D3","3","LED","LED","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","Light emitting diode","",""
"H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11","11","MountingHole_Pad","MountingHole_Pad","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","Mounting Hole with connection","",""
"H12, H13","2","MountingHole","MountingHole","MountingHole:MountingHole_2.5mm","Mounting Hole without connection","",""
"P1","1","USB_C_Plug_USB2.0","USB_C_Plug_USB2.0","Library:TYPE-C 16PIN 2MD(073)","USB 2.0-only Type-C Plug connector","",""
"Q1, Q2","2","S8050","S8050","Package_TO_SOT_THT:TO-92_Inline","0.7A Ic, 20V Vce, Low Voltage High Current NPN Transistor, TO-92","",""
"R1","1","4.7k","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R2, R3, R7, R10, R11, R12, R13","7","10k","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R4, R8, R9","3","330R","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R5","1","16330R","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R6","1","19330R","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"R14","1","330","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor","",""
"SW1, SW2","2","SW_Push","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins","",""
"U1","1","CH340C","CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","USB serial converter, UART, SOIC-16","",""
"U2","1","ESP-12E","ESP-12E_XPIN","RF_Module:ESP-12E_XPIN","802.11 b/g/n Wi-Fi Module","",""
